Age,BodyweightKg,Place,Dots,Wilks,Glossbrenner,Goodlift,bestSquat/bodyWeight,bestBench/bodyWeight,bestDeadlift/bodyWeight,totalKg/bodyWeight
15.5,67.4,1,206.4,206.49,200.45,41.24,1.48,0.93,1.56,3.97
35.0,66.65,1,334.49,334.94,325.32,66.68,2.06,1.84,2.55,6.45
26.5,72.45,1,194.46,193.55,187.29,39.34,1.24,0.69,1.73,3.66
15.5,78.8,1,191.34,189.56,182.77,39.09,1.27,0.76,1.46,3.49
57.5,79.65,1,231.6,229.34,221.02,47.35,2.26,1.26,0.69,4.21
31.5,102.55,1,397.35,393.25,375.51,81.45,2.27,1.56,2.54,6.36
25.5,73.05,1,290.09,288.58,279.16,58.75,1.92,1.47,2.05,5.44
25.5,94.75,1,368.93,364.32,348.46,75.84,1.95,1.58,2.64,6.17
26.5,98.9,1,361.82,357.62,341.64,74.29,2.12,1.59,2.2,5.92
32.0,94.1,1,379.62,374.84,358.61,78.04,2.18,1.54,2.66,6.38
32.0,107.8,1,390.94,387.93,370.58,79.89,2.13,1.62,2.32,6.08
43.5,98.75,1,391.46,386.9,369.62,80.38,2.13,1.65,2.63,6.41
27.5,64.2,1,268.0,269.19,261.92,52.99,1.71,1.09,2.41,5.22
54.5,79.7,1,393.91,390.06,375.9,80.55,2.51,1.57,3.07,7.15
28.0,130.9,1,407.91,412.38,393.77,81.78,2.1,1.34,2.14,5.58
30.0,68.3,1,347.74,347.54,337.18,69.66,2.34,1.32,3.0,6.66
35.5,93.0,1,429.47,424.03,405.84,88.3,2.9,1.51,2.85,7.26
41.0,100.2,1,313.64,310.13,296.2,64.37,1.9,1.2,2.0,5.09
53.0,111.7,1,253.23,251.89,240.86,51.6,1.34,1.16,1.34,3.85
61.0,72.9,1,317.89,316.28,305.97,64.36,2.47,1.17,2.33,5.97
49.0,148.5,1,310.05,318.6,301.47,61.26,1.55,0.98,1.35,3.87
48.0,106.5,1,380.81,377.6,360.63,77.89,2.44,1.27,2.25,5.96
50.0,100.0,1,360.08,356.02,340.04,73.9,2.2,1.25,2.4,5.85
52.0,100.4,1,356.38,352.42,336.58,73.13,2.14,1.15,2.49,5.78
49.0,85.7,1,415.23,410.22,394.02,85.27,2.57,1.81,2.93,7.3
43.0,106.1,1,381.37,378.08,361.07,78.02,2.17,1.46,2.36,5.98
33.0,104.3,2,408.19,404.31,386.06,69.2,2.4,1.68,2.4,6.47
36.0,85.3,1,488.76,482.92,463.95,83.55,3.17,2.11,3.34,8.62
38.0,104.1,1,466.01,461.52,440.69,79.01,2.69,1.54,3.17,7.4
46.0,87.0,2,329.0,324.94,311.9,67.6,1.84,1.49,2.41,5.75
38.0,98.9,1,448.41,443.21,423.4,76.22,2.78,1.77,2.78,7.33
15.0,57.5,1,279.91,283.97,277.98,53.69,2.35,1.04,2.17,5.57
18.0,74.2,1,310.63,308.71,298.43,63.04,2.29,1.21,2.29,5.8
16.0,95.4,1,297.03,293.35,280.51,61.05,2.18,0.89,1.89,4.95
19.0,100.4,1,331.81,328.12,313.37,68.09,2.09,1.29,1.99,5.38
22.0,89.2,1,323.14,319.06,305.91,66.43,2.16,1.18,2.24,5.58
18.0,75.4,1,384.31,381.59,368.62,78.15,2.79,1.43,2.92,7.13
23.0,79.8,1,359.09,355.57,342.64,73.43,2.32,1.5,2.69,6.52
21.0,65.4,1,403.11,404.27,393.01,80.04,2.84,1.64,3.33,7.81
17.0,81.7,1,449.57,444.75,428.12,92.09,3.3,1.53,3.24,8.08
25.0,65.7,1,465.03,466.19,453.1,92.43,3.35,2.46,3.2,9.0
33.0,75.0,1,405.34,402.6,389.01,82.37,2.73,1.6,3.2,7.53
34.0,89.1,2,409.44,404.27,387.62,84.17,2.86,1.52,2.69,7.07
40.0,109.3,2,415.59,412.76,394.42,84.84,2.65,1.37,2.38,6.4
29.0,87.2,1,506.05,499.79,479.67,103.98,3.1,2.29,3.44,8.83
44.0,99.6,1,502.52,496.8,474.53,103.15,3.19,1.83,3.16,8.18
39.0,98.1,2,490.37,484.58,463.0,100.72,3.47,1.43,3.16,8.05
50.0,121.4,1,467.7,468.76,449.18,94.55,2.8,1.28,2.66,6.73
30.0,107.9,1,566.81,562.48,537.32,115.82,3.61,1.95,3.24,8.8
36.0,84.2,3,415.22,410.39,394.51,85.21,2.85,1.78,2.73,7.36
46.0,81.6,1,475.11,470.03,452.49,97.32,3.37,1.92,3.25,8.54
26.0,103.0,2,419.42,415.18,396.43,85.96,2.38,1.55,2.77,6.7
24.0,61.1,1,328.51,331.4,323.29,64.15,1.88,1.47,3.11,6.46
34.0,81.2,3,317.86,314.52,302.85,65.09,2.16,1.11,2.46,5.73
24.0,88.4,2,334.43,330.23,316.74,68.74,2.06,1.41,2.32,5.8
24.0,87.9,3,333.78,329.61,316.23,68.6,1.99,1.25,2.56,5.8
27.0,71.9,2,396.43,394.77,382.13,80.1,2.78,1.91,2.78,7.48
33.0,87.0,1,381.64,376.93,361.8,78.41,2.73,1.41,2.53,6.67
31.0,80.9,1,426.44,422.02,406.43,87.3,2.84,1.95,2.9,7.69
32.0,76.9,2,402.54,399.27,385.38,82.04,2.67,1.63,3.12,7.41
30.0,71.0,1,420.28,418.88,405.69,84.76,2.92,1.8,3.24,7.96
27.0,110.9,4,339.52,337.55,322.69,69.23,2.07,1.4,1.71,5.18
25.0,107.1,3,347.06,344.25,328.81,70.96,1.96,1.4,2.05,5.42
35.0,170.0,1,333.05,347.61,324.95,55.77,1.35,1.03,1.38,3.76
34.0,106.2,4,345.21,342.25,326.85,70.62,1.98,1.32,2.12,5.41
35.0,95.5,3,389.57,384.75,367.9,80.07,2.46,1.52,2.51,6.49
31.0,107.4,2,379.55,376.54,359.67,77.58,2.14,1.35,2.42,5.91
39.0,124.4,3,366.12,367.91,352.22,73.82,1.69,1.33,2.17,5.18
24.0,99.2,4,382.96,378.55,361.61,78.62,2.22,1.41,2.62,6.25
37.0,97.7,2,455.82,450.39,430.38,93.63,3.2,1.33,2.97,7.5
24.0,98.9,1,473.46,467.97,447.05,97.22,2.6,2.1,3.04,7.74
36.0,98.1,1,478.89,473.23,452.16,81.44,2.76,2.25,2.86,7.86
30.0,120.7,2,459.99,460.76,441.53,93.05,2.59,1.33,2.73,6.65
29.0,108.6,1,546.06,542.11,517.94,111.53,3.45,1.86,3.13,8.45
31.0,130.6,1,486.47,491.66,469.54,97.55,2.76,1.42,2.49,6.66
29.0,116.1,1,534.34,533.23,510.59,108.51,3.01,1.77,3.14,7.92
25.0,93.9,3,386.33,381.47,364.97,79.43,2.34,1.7,2.45,6.5
30.0,101.0,2,392.25,387.97,370.51,80.47,2.57,1.49,2.28,6.34
27.0,98.7,2,390.0,385.45,368.24,80.08,2.33,1.52,2.53,6.38
32.0,109.7,1,385.37,382.84,365.87,78.65,2.28,1.23,2.42,5.93
24.0,127.6,2,427.98,431.33,412.46,86.05,2.35,1.49,2.12,5.96
25.0,129.9,1,434.05,438.4,418.81,87.1,2.12,1.62,2.23,5.97
38.0,99.1,1,468.09,462.69,442.0,96.11,3.2,1.31,3.13,7.64
49.0,122.2,1,466.7,468.08,448.48,94.28,2.72,1.27,2.7,6.69
17.0,79.9,1,255.32,252.8,243.59,52.22,1.75,1.0,1.88,4.63
16.0,98.5,1,233.9,231.16,220.85,48.03,1.42,0.69,1.73,3.83
18.0,72.7,1,329.45,327.84,317.19,66.68,2.34,1.24,2.61,6.19
51.0,148.0,1,171.36,176.0,166.58,33.87,0.61,0.76,0.78,2.15
73.0,105.4,1,212.27,210.36,200.88,43.44,0.95,0.97,1.42,3.34
53.0,113.2,1,228.56,227.59,217.73,46.52,1.28,1.1,1.06,3.45
61.0,72.5,1,276.88,275.57,266.66,56.01,2.07,1.07,2.07,5.21
21.0,59.5,1,319.13,322.72,315.29,61.86,2.18,1.44,2.69,6.31
20.0,97.9,1,267.15,263.98,252.24,54.87,1.53,0.92,1.94,4.39
50.0,98.0,1,326.03,322.17,307.83,66.96,1.89,1.28,2.19,5.36
47.0,88.5,1,345.65,341.3,327.35,71.05,2.03,1.53,2.43,5.99
47.0,104.4,1,347.59,344.29,328.75,71.18,2.11,1.2,2.2,5.51
40.0,108.6,1,476.12,472.68,451.61,97.25,2.9,1.57,2.9,7.37
27.0,68.4,1,343.56,343.33,333.07,68.84,2.19,1.75,2.63,6.58
32.0,58.4,1,362.56,367.28,359.21,69.88,2.35,1.84,3.0,7.19
34.0,66.1,2,336.54,337.21,327.65,66.98,2.27,1.36,2.87,6.51
29.0,88.4,2,355.63,351.17,336.83,73.1,1.92,1.75,2.49,6.17
23.0,66.1,3,315.02,315.65,306.7,62.69,2.04,1.4,2.65,6.09
24.0,63.4,1,448.3,450.77,438.88,88.38,3.15,2.37,3.23,8.75
24.0,85.7,1,414.56,409.56,393.39,85.14,2.68,1.81,2.8,7.29
26.0,70.7,1,287.22,286.34,277.38,57.88,1.7,0.99,2.76,5.45
